Sample,Length of curve (μm),Angle,Persistence length (μm)
microtubule_1,9.982023821,0.20213512,242.6359913
microtubule_2,11.32687956,0.1439214311,544.9470894
microtubule_3,13.35805579,0.146649514,618.8981205
microtubule_4,10.3757419,0.300543126577496,113.1245225
microtubule_5,11.62520061,0.1185793008,824.8258823
microtubule_6,9.097883182,0.3645241017,66.93102224
microtubule_7,10.55289096,0.3283306287,96.1141351
microtubule_8,10.17118743,0.126906873,629.8428021
microtubule_9,10.57706956,0.1564391041,430.4228263
microtubule_10,12.80909604,0.2915591887,148.5299531
actin_1,8.239196805,1.197625389,4.08270379
actin_2,3.068241069,1.204523948,1.494023765
actin_3,4.964091908,1.090972902,3.210894133
actin_4,4.359800491,0.681554083,8.621766823
actin_5,5.547178796,1.478644205,1.162574576
actin_6,4.929315275,1.165470937,2.648466283
actin_7,4.058064992,0.9151041533,4.100918894
actin_8,3.520191433,1.07819139,2.350482013
actin_9,5.545733149,1.316606344,2.008646236
actin_10,5.050577189,0.9111884585,5.156752676